ecozone,extent_2000,extent_perc,gain,gain_perc,id,loss,loss_perc,thresh,year
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,3013528.5950207002,0.27443464693386627,25,2001
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,1988654.5301354064,0.579946381268539,25,2001
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,1729382.1424980334,0.29054154547503,25,2001
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,6783759.58774277,0.3239444672422337,25,2001
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4990825.653922,0.45450223319787614,25,2002
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2142935.794187201,0.6249390431052241,25,2002
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,1757878.7571810563,0.2953290648250636,25,2002
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,7798374.544254847,0.3723953147836442,25,2002
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4420229.867755,0.402539476522054,25,2003
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,1871623.9654213325,0.545817048357649,25,2003
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,1691715.187019321,0.2842133805257168,25,2003
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,6740843.337854092,0.32189509011935596,25,2003
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,6361227.315887999,0.5793013463971451,25,2004
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2209589.89349317,0.6443772125325596,25,2004
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2681226.436344224,0.4504543290002451,25,2004
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8858821.090693282,0.42303475550698066,25,2004
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4868214.552135,0.4433363413312166,25,2005
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2234783.4004934016,0.6517243324042314,25,2005
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2315177.8530210643,0.3889570355425749,25,2005
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8893438.010882862,0.4246878152334253,25,2005
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4890157.258958099,0.44533460974311107,25,2006
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2403919.106991562,0.7010489583965736,25,2006
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2312507.715406596,0.38850844416992547,25,2006
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8262916.1740973815,0.39457854354415095,25,2006
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4044292.6777473,0.3683038000530992,25,2007
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2696163.5984165384,0.7862754935635639,25,2007
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2807728.6724235215,0.47170709568108765,25,2007
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,9056342.310305733,0.43246697453372873,25,2007
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4752708.7895663995,0.4328175152541329,25,2008
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2730483.935865131,0.7962842483299694,25,2008
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2453930.801901495,0.41226795984106845,25,2008
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8896287.007810969,0.4248238632139165,25,2008
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,3493188.9254331,0.31811613502142316,25,2009
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2105633.363769086,0.6140606279729415,25,2009
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2044829.9670477053,0.34353775505136547,25,2009
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,9577154.690475449,0.4573372970805476,25,2009
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4028630.053161,0.3668774433045682,25,2010
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2416254.648996676,0.7046463418729105,25,2010
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2366513.4406217323,0.3975815729382383,25,2010
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,9985815.125299832,0.4768520344661945,25,2010
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4593516.1153845005,0.4183202294458105,25,2011
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2180896.1037029205,0.6360093138847225,25,2011
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2275481.356352438,0.38228790140002655,25,2011
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8737210.409487609,0.417227487896065,25,2011
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,7524993.514003,0.6852826754679796,25,2012
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2457100.149904247,0.716558013851871,25,2012
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2402579.966250083,0.4036408607257481,25,2012
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,10818207.575607112,0.5166012215303211,25,2012
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,7285440.483336,0.6634671693859528,25,2013
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,1899500.963405588,0.5539467480398248,25,2013
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,1590628.8398484827,0.26723056174223087,25,2013
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8293453.14463866,0.3960367736782288,25,2013
Boreal,1062504878.438,59.316786676740065,1724927.0973699999,0.1623453343485664,234,2958940.558398,0.2784872444772179,30,2001
Subtropical,326691565.7906175,14.508708866757727,1617518.069793075,0.495120853787138,824,1921322.802246493,0.5881152142990748,30,2001
Temperate,581997445.7394999,21.642903559980518,1299885.7886921668,0.22334905388467827,769,1722035.5055342908,0.2958836878306624,30,2001
Tropical,1990302498.0763857,35.0360303452663,2060309.6983481832,0.10351741508335838,1251,6691488.269665733,0.3362045857920096,30,2001
Boreal,1062504878.438,59.316786676740065,1724927.0973699999,0.1623453343485664,234,4861365.77894,0.457538207832678,30,2002
Subtropical,326691565.7906175,14.508708866757727,1617518.069793075,0.495120853787138,824,2102199.727323825,0.6434814814506605,30,2002
Temperate,581997445.7394999,21.642903559980518,1299885.7886921668,0.22334905388467827,769,1748351.1534124203,0.30040529665743176,30,2002
Tropical,1990302498.0763857,35.0360303452663,2060309.6983481832,0.10351741508335838,1251,7692704.191832663,0.3865092969168059,30,2002
Boreal,1062504878.438,59.316786676740065,1724927.0973699999,0.1623453343485664,234,4323758.0079419995,0.40694006170573105,30,2003
